t,Q,P,Bar,Eta
2024-01-01 00:02:44,0.02707766,51.0275,26.80182,0.7028625632220407
2024-01-01 00:17:44,0.02720481,50.7505,26.72546,0.6977678844060415
2024-01-01 00:32:44,0.02701408,51.062,26.72909,0.7069114299843379
2024-01-01 00:47:44,0.027150320000000002,51.5555,26.84182,0.7071794439773407
2024-01-01 01:02:44,0.027170760000000002,51.5965,26.86909,0.7064916540182827
2024-01-01 01:17:44,0.02711172,51.4955,26.88182,0.7063095484844744
2024-01-01 01:32:44,0.02710491,51.399,26.76546,0.7082287062531845
2024-01-01 01:47:44,0.0272139,50.9185,26.78909,0.6981815900338268
2024-01-01 02:02:44,0.02781335,56.126,28.26909,0.713576435687276
2024-01-01 02:17:44,0.027331969999999997,52.845,27.16727,0.711423989006721
2024-01-01 02:32:44,0.02767257,54.3375,27.74727,0.707410392672211
2024-01-01 02:47:44,0.02742734,53.6265,27.51818,0.7102603863547872
2024-01-01 03:02:44,0.02745232,53.55,27.45636,0.7101972715157804
2024-01-01 03:17:44,0.02674614,48.604,26.09091,0.6962467956466137
2024-01-01 03:32:44,0.0273456,52.149,27.01273,0.7057186388881759
2024-01-01 03:47:44,0.02703679,51.1635,26.71273,0.7081550903164988
2024-01-01 04:02:44,0.02700046,51.0205,26.69273,0.7076558335599831
2024-01-01 04:17:44,0.0272139,52.231,27.07818,0.7085322502887269
2024-01-01 04:32:44,0.02690055,49.7565,26.34909,0.7017211726060155
2024-01-01 04:47:44,0.027157129999999998,51.916,26.95818,0.7088728143227052
2024-01-01 05:02:44,0.02711172,50.9815,26.76182,0.7023950315359693
2024-01-01 05:17:44,0.02698683,50.0455,26.49818,0.6995820389958612
2024-01-01 05:32:44,0.027193460000000003,52.129,27.0,0.7097292399472936
2024-01-01 05:47:44,0.027004999999999998,50.077,26.47818,0.7000797714473208
2024-01-01 06:02:44,0.02703679,50.419,26.71455,0.6978029070778593
2024-01-01 06:17:44,0.0271208,51.4515,26.97636,0.7029974235277348
2024-01-01 06:32:44,0.02696867,50.284,26.61455,0.7003138228929041
2024-01-01 06:47:45,0.02697094,51.1365,26.79455,0.7073428804703323
2024-01-01 07:02:45,0.027075389999999998,51.5685,26.92909,0.707016644006964
2024-01-01 07:17:45,0.02705949,50.3585,26.60546,0.6992362642194063
2024-01-01 07:32:45,0.027004999999999998,50.802,26.67455,0.704986928197553
2024-01-01 07:47:45,0.02712307,51.461,26.88546,0.7054454593446831
2024-01-01 08:02:45,0.02702316,51.0685,26.74182,0.7064274157409816
2024-01-01 08:17:45,0.026989100000000002,50.6855,26.69637,0.7032093835065985
2024-01-01 08:32:45,0.02700046,50.777,26.68909,0.7043745346519091
2024-01-01 08:47:45,0.027066310000000003,51.3375,26.88,0.7053715470681874
2024-01-01 09:02:45,0.027066310000000003,51.196,26.86546,0.7038080584853087
2024-01-01 09:17:45,0.02701181,50.725,26.7,0.703070127233334
2024-01-01 09:32:45,0.0270436,50.789,26.72909,0.7023644511011113
2024-01-01 09:47:45,0.02712534,51.424,26.86364,0.7054517955775962
2024-01-01 10:02:45,0.02704133,51.153,26.79455,0.7057292711125759
2024-01-01 10:17:45,0.02699364,50.898,26.73637,0.7049825389982639
2024-01-01 10:32:45,0.027091280000000002,50.7935,26.70364,0.7018586999208485
2024-01-01 10:47:45,0.027068580000000002,51.113,26.80909,0.7040854395328946
2024-01-01 11:02:45,0.02703225,51.1995,26.83455,0.7055547909890857
2024-01-01 11:17:45,0.02707085,51.4025,26.84,0.7071985723960172
2024-01-01 11:32:45,0.02705949,50.994,26.72728,0.7048330280300467
2024-01-01 11:47:45,0.02709809,51.148,26.71273,0.7063390853065756
2024-01-01 12:02:45,0.02705268,50.631,26.68,0.7012323156925877
2024-01-01 12:17:45,0.027095829999999998,51.222,26.82,0.7045905869867505
2024-01-01 12:32:45,0.027138970000000002,51.4085,26.82364,0.7059361091260326
2024-01-01 12:47:45,0.027138970000000002,51.4,26.84909,0.7051503484585838
2024-01-01 13:02:45,0.02712534,51.433,26.83455,0.7063401396374313
2024-01-01 13:17:45,0.027066310000000003,50.852,26.77636,0.7014052073286151
2024-01-01 13:32:45,0.02702998,50.825,26.75091,0.702642864410323
2024-01-01 13:47:45,0.027075389999999998,51.056,26.76,0.704413213955758
2024-01-01 14:02:45,0.02718892,51.1305,26.82545,0.7007814611594108
2024-01-01 14:17:45,0.0270822,51.6075,26.86182,0.7091448987560647
2024-01-01 14:32:45,0.027095829999999998,51.547,26.84546,0.708388697457265
2024-01-01 14:47:45,0.02703679,51.3095,26.76546,0.708776778706631
2024-01-01 15:02:45,0.02739782,53.275,27.39091,0.7096472544245327
2024-01-01 15:17:45,0.02781562,55.182,27.95273,0.7094568725364105
2024-01-01 15:32:45,0.027227519999999998,52.296,27.05455,0.7096784358375385
2024-01-01 15:47:45,0.02766122,55.728,28.12,0.7161901561778047
2024-01-01 16:02:45,0.02736376,52.54,27.2,0.7056460733744268
2024-01-01 16:17:45,0.027343330000000002,52.7355,27.20728,0.7086113030979567
2024-01-01 16:32:45,0.02676431,48.6445,26.04182,0.6976665436338038
2024-01-01 16:47:45,0.027306999999999998,52.792,27.21455,0.7101245138657818
2024-01-01 17:02:45,0.02699137,50.391,26.50182,0.7041965384227078
2024-01-01 17:17:45,0.027100359999999997,51.5765,26.82545,0.7092042488589879
2024-01-01 17:32:45,0.027170760000000002,51.9125,26.94,0.7089475465173414
2024-01-01 17:47:45,0.02696867,49.935,26.40909,0.700863795094867
2024-01-01 18:02:45,0.02725931,51.999,27.02182,0.7056788055069969
2024-01-01 18:17:45,0.02705041,51.068,26.72546,0.7061408664244438
2024-01-01 18:32:45,0.02707312,51.172,26.77273,0.7057371222862995
2024-01-01 18:47:45,0.02722979,52.0305,27.00364,0.7073476830336333
2024-01-01 19:02:45,0.02704133,50.6195,26.52364,0.7055019455250621
2024-01-01 19:17:45,0.02716848,52.0935,26.84546,0.7139846635577312
2024-01-01 19:32:45,0.02712534,51.493,26.83455,0.7071641321787616
2024-01-01 19:47:45,0.026984559999999998,50.9895,26.60546,0.7099637548750256
2024-01-01 20:02:45,0.027145779999999998,51.897,26.84182,0.7119828065531437
2024-01-01 20:17:45,0.02718438,51.884,26.9,0.7092564202234095
2024-01-01 20:32:45,0.02703906,50.807,26.70364,0.7034010874000924
2024-01-01 20:47:45,0.02711626,50.843,26.70728,0.7017998268387933
2024-01-01 21:02:45,0.027220710000000002,51.9485,26.9,0.7091903551645887
2024-01-01 21:17:46,0.02712761,51.6455,26.82909,0.7093434262345393
2024-01-01 21:32:45,0.0270822,51.141,26.69091,0.7072344892521903
2024-01-01 21:47:46,0.02706176,51.2785,26.7,0.7094300015444621
2024-01-01 22:02:46,0.02719119,51.7245,26.86182,0.7079037119003606
