,t,Q,P,h,Target,dt,tIn,tOff,PRDay
0,2023-10-26 00:00:00,48.002,122.3531,301.43616374,128.9968355551232,16.5,2023-10-26,2023-10-26 16:30:00,86.19682780108403
1,2023-10-26 00:15:00,47.8488,119.3008,296.44657592,126.45670428108518,16.5,2023-10-26,2023-10-26 16:30:00,85.73474481909433
2,2023-10-26 00:30:00,47.7788,118.9747,295.97035734,126.06885974349026,16.5,2023-10-26,2023-10-26 16:30:00,85.76343285946109
3,2023-10-26 00:45:00,47.5556,118.4792,296.0101272,125.49678641513458,16.5,2023-10-26,2023-10-26 16:30:00,85.79557133832796
4,2023-10-26 01:00:00,44.352,111.0387,299.2121108,118.63218871967283,16.5,2023-10-26,2023-10-26 16:30:00,85.29292039134995
5,2023-10-26 01:15:00,34.8151,87.0323,306.66233124,95.2212803634454,16.5,2023-10-26,2023-10-26 16:30:00,83.0966227951022
6,2023-10-26 01:30:00,22.3421,54.6032,313.9167616,30.26336849059897,16.5,2023-10-26,2023-10-26 16:30:00,79.36163214843447
7,2023-10-26 01:45:00,31.1733,81.2803,311.1124766,85.88735430660734,16.5,2023-10-26,2023-10-26 16:30:00,85.43111674002853
8,2023-10-26 02:00:00,44.5375,114.5554,303.81929612,120.90631065452257,16.5,2023-10-26,2023-10-26 16:30:00,86.29892187258554
9,2023-10-26 02:15:00,47.999,121.016,298.97655086,127.9362706477023,16.5,2023-10-26,2023-10-26 16:30:00,85.96159589858627
10,2023-10-26 02:30:00,47.7026,119.1719,296.30585179999997,126.01047515191615,16.5,2023-10-26,2023-10-26 16:30:00,85.9453880846163
11,2023-10-26 02:45:00,47.0332,116.4127,294.75176804,123.70225569794333,16.5,2023-10-26,2023-10-26 16:30:00,85.59933839703449
12,2023-10-26 03:00:00,42.5143,106.3517,299.90757348,114.01847845572746,16.5,2023-10-26,2023-10-26 16:30:00,85.02623782517131
13,2023-10-26 03:15:00,32.2679,80.7306,309.62773516,88.71255102536132,16.5,2023-10-26,2023-10-26 16:30:00,82.36801774225086
