t,Q,P,Bar,Eta
2024-01-01 00:00:00,0.022359,54.9099,30.7837,0.7974785238833927
2024-01-01 00:15:00,0.0370356,93.7554,29.9097,0.8460701764190554
2024-01-01 00:30:00,0.0378791,96.1978,29.7977,0.8519699607033109
2024-01-01 00:45:00,0.0400651,100.9355,29.6796,0.8485182773663117
2024-01-01 01:00:00,0.0335927,84.3298,30.3056,0.8280466597222897
2024-01-01 01:15:00,0.022568500000000002,54.1108,30.8258,0.7775143997040149
2024-01-01 01:30:00,0.0288718,74.4633,30.7483,0.8384725441745559
2024-01-01 01:45:00,0.0392768,101.8597,30.3831,0.8532489252864273
2024-01-01 02:00:00,0.029221399999999998,72.1875,30.7515,0.803038219056729
2024-01-01 02:15:00,0.0160342,35.3201,31.073,0.7086519402739543
2024-01-01 02:30:00,0.0267546,67.9821,30.6613,0.8284133456456239
2024-01-01 02:45:00,0.032489,82.1834,30.5068,0.8288818746915196
2024-01-01 03:00:00,0.0201894,46.8622,30.9968,0.7485553816727631
2024-01-01 03:15:00,0.025635500000000002,64.6328,30.6961,0.8210498285329572
2024-01-01 03:30:00,0.030797,77.5568,30.6001,0.8226785244811284
2024-01-01 03:45:00,0.0263006,66.8319,30.9625,0.8203962560226352
2024-01-01 04:00:00,0.0423652,110.5513,30.1067,0.8664289907648668
2024-01-01 04:15:00,0.050790100000000005,126.5118,29.0556,0.8569661276547639
2024-01-01 04:30:00,0.0458851,114.2332,29.1483,0.8537858778809136
2024-01-01 04:45:00,0.0496844,122.9694,28.9088,0.8558319141748972
2024-01-01 05:00:00,0.0473884,118.1114,29.2026,0.8531782773312927
2024-01-01 05:15:00,0.0385866,97.4179,30.0727,0.8392113830417525
2024-01-01 05:30:00,0.0239518,58.3321,30.9251,0.7872268167988454
2024-01-01 05:45:00,0.036251399999999996,96.9953,30.9057,0.8654238510340048
2024-01-01 06:00:00,0.051386600000000004,132.2874,29.8662,0.8616485584941654
2024-01-01 06:15:00,0.0515841,132.0937,29.7637,0.8600443882302815
2024-01-01 06:30:00,0.051225900000000005,128.6907,29.2952,0.8572404113117252
2024-01-01 06:45:00,0.0510995,127.6165,29.1483,0.85648248406862
2024-01-01 07:00:00,0.0497524,125.1151,29.3597,0.8562204883476269
