,t,Q,P,h,Target,dt,tIn,tOff,PRlast24,EnergiaPersa,MinutiFermi,MancataProduzione,Corrispettivo
0,2024-01-21 12:15:00,0.9001,0.0,329.24141432,1.278745120167422,23.75,2024-01-21 12:09:57.112192,2024-01-22 12:00:00,0.0,67.56762708333333,1380,14.1892016875,14.806123499999998
1,2024-01-21 12:30:00,0.8965,0.0,328.22677302,1.26970569044169,23.75,2024-01-21 12:09:57.112192,2024-01-22 12:00:00,0.0,67.56762708333333,1380,14.1892016875,14.806123499999998
2,2024-01-21 12:45:00,0.8997,0.0,329.15881538,1.2778561875842114,23.75,2024-01-21 12:09:57.112192,2024-01-22 12:00:00,0.0,67.56762708333333,1380,14.1892016875,14.806123499999998
3,2024-01-21 13:00:00,0.9183,0.0,329.19552602,1.304419485333073,23.75,2024-01-21 12:09:57.112192,2024-01-22 12:00:00,0.0,67.56762708333333,1380,14.1892016875,14.806123499999998
4,2024-01-21 13:15:00,0.9013,0.0,328.32976676000004,1.2769044436323937,23.75,2024-01-21 12:09:57.112192,2024-01-22 12:00:00,0.0,67.56762708333333,1380,14.1892016875,14.806123499999998
5,2024-01-21 13:30:00,0.9077,0.0,329.19552602,1.289362481582087,23.75,2024-01-21 12:09:57.112192,2024-01-22 12:00:00,0.0,67.56762708333333,1380,14.1892016875,14.806123499999998
6,2024-01-21 13:45:00,0.8943,0.0,329.31279612,1.2707806880859098,23.75,2024-01-21 12:09:57.112192,2024-01-22 12:00:00,0.0,67.56762708333333,1380,14.1892016875,14.806123499999998
7,2024-01-21 14:00:00,0.8982,0.0,327.79440326,1.2704376447651813,23.75,2024-01-21 12:09:57.112192,2024-01-22 12:00:00,0.0,67.56762708333333,1380,14.1892016875,14.806123499999998
8,2024-01-21 14:15:00,0.899,0.0,328.08298968,1.2726886606300918,23.75,2024-01-21 12:09:57.112192,2024-01-22 12:00:00,0.0,67.56762708333333,1380,14.1892016875,14.806123499999998
9,2024-01-21 14:30:00,0.9025,0.0,328.87736714,1.2807370305565244,23.75,2024-01-21 12:09:57.112192,2024-01-22 12:00:00,0.0,67.56762708333333,1380,14.1892016875,14.806123499999998
10,2024-01-21 14:45:00,0.9033,0.0,328.93141336,1.2820829670201785,23.75,2024-01-21 12:09:57.112192,2024-01-22 12:00:00,0.0,67.56762708333333,1380,14.1892016875,14.806123499999998
11,2024-01-21 15:00:00,0.9002,0.0,328.76009704,1.2770175848827774,23.75,2024-01-21 12:09:57.112192,2024-01-22 12:00:00,0.0,67.56762708333333,1380,14.1892016875,14.806123499999998
12,2024-01-21 15:15:00,0.9079,0.0,329.39845428,1.2904415616924565,23.75,2024-01-21 12:09:57.112192,2024-01-22 12:00:00,0.0,67.56762708333333,1380,14.1892016875,14.806123499999998
13,2024-01-21 15:30:00,0.9064,0.0,329.26180912,1.2877751075951258,23.75,2024-01-21 12:09:57.112192,2024-01-22 12:00:00,0.0,67.56762708333333,1380,14.1892016875,14.806123499999998
14,2024-01-21 15:45:00,0.9,0.0,329.43924388,1.2793713206649946,23.75,2024-01-21 12:09:57.112192,2024-01-22 12:00:00,0.0,67.56762708333333,1380,14.1892016875,14.806123499999998
15,2024-01-21 16:00:00,0.9028,0.0,330.28460834,1.2866447581693483,23.75,2024-01-21 12:09:57.112192,2024-01-22 12:00:00,0.0,67.56762708333333,1380,14.1892016875,14.806123499999998
16,2024-01-21 16:15:00,0.9038,0.0,330.41207584,1.2885670373856997,23.75,2024-01-21 12:09:57.112192,2024-01-22 12:00:00,0.0,67.56762708333333,1380,14.1892016875,14.806123499999998
17,2024-01-21 16:30:00,0.9133,0.0,330.15714084,1.3011067250984012,23.75,2024-01-21 12:09:57.112192,2024-01-22 12:00:00,0.0,67.56762708333333,1380,14.1892016875,14.806123499999998
18,2024-01-21 16:45:00,0.9136,0.0,330.16733824,1.3015743113576865,23.75,2024-01-21 12:09:57.112192,2024-01-22 12:00:00,0.0,67.56762708333333,1380,14.1892016875,14.806123499999998
19,2024-01-21 17:00:00,0.9024,0.0,330.70882018000003,1.287726501695066,23.75,2024-01-21 12:09:57.112192,2024-01-22 12:00:00,0.0,67.56762708333333,1380,14.1892016875,14.806123499999998
20,2024-01-21 17:15:00,0.9191,0.0,329.94911388,1.3085445155264837,23.75,2024-01-21 12:09:57.112192,2024-01-22 12:00:00,0.0,67.56762708333333,1380,14.1892016875,14.806123499999998
21,2024-01-21 17:30:00,0.9228,0.0,328.66424148000004,1.308696107113364,23.75,2024-01-21 12:09:57.112192,2024-01-22 12:00:00,0.0,67.56762708333333,1380,14.1892016875,14.806123499999998
22,2024-01-21 17:45:00,0.9082,0.0,328.88246584,1.288845877127982,23.75,2024-01-21 12:09:57.112192,2024-01-22 12:00:00,0.0,67.56762708333333,1380,14.1892016875,14.806123499999998
23,2024-01-21 18:00:00,0.911,0.0,329.14555876000003,1.2938536207219606,23.75,2024-01-21 12:09:57.112192,2024-01-22 12:00:00,0.0,67.56762708333333,1380,14.1892016875,14.806123499999998
24,2024-01-21 18:15:00,0.91,0.0,327.92594972,1.287644408836195,23.75,2024-01-21 12:09:57.112192,2024-01-22 12:00:00,0.0,67.56762708333333,1380,14.1892016875,14.806123499999998
25,2024-01-21 18:30:00,0.9231,0.0,329.08743358000004,1.3108072019291916,23.75,2024-01-21 12:09:57.112192,2024-01-22 12:00:00,0.0,67.56762708333333,1380,14.1892016875,14.806123499999998
26,2024-01-21 18:45:00,0.9156,0.0,329.40049375999996,1.3013939964225285,23.75,2024-01-21 12:09:57.112192,2024-01-22 12:00:00,0.0,67.56762708333333,1380,14.1892016875,14.806123499999998
27,2024-01-21 19:00:00,0.9254,0.0,328.52351736,1.3118214509986517,23.75,2024-01-21 12:09:57.112192,2024-01-22 12:00:00,0.0,67.56762708333333,1380,14.1892016875,14.806123499999998
28,2024-01-21 19:15:00,0.9031,0.0,329.28628288000004,1.283181976764016,23.75,2024-01-21 12:09:57.112192,2024-01-22 12:00:00,0.0,67.56762708333333,1380,14.1892016875,14.806123499999998
29,2024-01-21 19:30:00,0.9087,0.0,329.88487025999996,1.2934858876773554,23.75,2024-01-21 12:09:57.112192,2024-01-22 12:00:00,0.0,67.56762708333333,1380,14.1892016875,14.806123499999998
30,2024-01-21 19:45:00,0.9064,0.0,328.57144514,1.2850750266139745,23.75,2024-01-21 12:09:57.112192,2024-01-22 12:00:00,0.0,67.56762708333333,1380,14.1892016875,14.806123499999998
31,2024-01-21 20:00:00,0.9188,0.0,329.54835605999995,1.3065285525563137,23.75,2024-01-21 12:09:57.112192,2024-01-22 12:00:00,0.0,67.56762708333333,1380,14.1892016875,14.806123499999998
32,2024-01-21 20:15:00,0.9182,0.0,332.0324427,1.315517343069195,23.75,2024-01-21 12:09:57.112192,2024-01-22 12:00:00,0.0,67.56762708333333,1380,14.1892016875,14.806123499999998
33,2024-01-21 20:30:00,0.9024,0.0,331.88050144,1.2922888384637685,23.75,2024-01-21 12:09:57.112192,2024-01-22 12:00:00,0.0,67.56762708333333,1380,14.1892016875,14.806123499999998
34,2024-01-21 20:45:00,0.9089,0.0,331.64086254,1.3006573770520322,23.75,2024-01-21 12:09:57.112192,2024-01-22 12:00:00,0.0,67.56762708333333,1380,14.1892016875,14.806123499999998
35,2024-01-21 21:00:00,0.9105,0.0,330.34681248000004,1.2978629650538922,23.75,2024-01-21 12:09:57.112192,2024-01-22 12:00:00,0.0,67.56762708333333,1380,14.1892016875,14.806123499999998
36,2024-01-21 21:15:00,0.9077,0.0,329.60750098,1.2909760668673953,23.75,2024-01-21 12:09:57.112192,2024-01-22 12:00:00,0.0,67.56762708333333,1380,14.1892016875,14.806123499999998
37,2024-01-21 21:30:00,0.9011,0.0,329.77779755999995,1.282251370728922,23.75,2024-01-21 12:09:57.112192,2024-01-22 12:00:00,0.0,67.56762708333333,1380,14.1892016875,14.806123499999998
38,2024-01-21 21:45:00,0.918,0.0,330.6608924,1.3097978819161888,23.75,2024-01-21 12:09:57.112192,2024-01-22 12:00:00,0.0,67.56762708333333,1380,14.1892016875,14.806123499999998
39,2024-01-21 22:00:00,0.9141,0.0,330.93928142,1.3053314373403646,23.75,2024-01-21 12:09:57.112192,2024-01-22 12:00:00,0.0,67.56762708333333,1380,14.1892016875,14.806123499999998
40,2024-01-21 22:15:00,0.9258,0.0,330.23158185999995,1.3192118702108746,23.75,2024-01-21 12:09:57.112192,2024-01-22 12:00:00,0.0,67.56762708333333,1380,14.1892016875,14.806123499999998
41,2024-01-21 22:30:00,0.9082,0.0,331.33494054,1.298456793592569,23.75,2024-01-21 12:09:57.112192,2024-01-22 12:00:00,0.0,67.56762708333333,1380,14.1892016875,14.806123499999998
42,2024-01-21 22:45:00,0.9026,0.0,331.62046774,1.2915624965411978,23.75,2024-01-21 12:09:57.112192,2024-01-22 12:00:00,0.0,67.56762708333333,1380,14.1892016875,14.806123499999998
43,2024-01-21 23:00:00,0.9231,0.0,331.49503972,1.3203970772805207,23.75,2024-01-21 12:09:57.112192,2024-01-22 12:00:00,0.0,67.56762708333333,1380,14.1892016875,14.806123499999998
44,2024-01-21 23:15:00,0.9261,0.0,331.27171666,1.3237958385939752,23.75,2024-01-21 12:09:57.112192,2024-01-22 12:00:00,0.0,67.56762708333333,1380,14.1892016875,14.806123499999998
45,2024-01-21 23:30:00,0.9156,0.0,332.15787072,1.3122878289746813,23.75,2024-01-21 12:09:57.112192,2024-01-22 12:00:00,0.0,67.56762708333333,1380,14.1892016875,14.806123499999998
46,2024-01-21 23:45:00,0.9229,0.0,332.21803538,1.3229901803119304,23.75,2024-01-21 12:09:57.112192,2024-01-22 12:00:00,0.0,67.56762708333333,1380,14.1892016875,14.806123499999998
47,2024-01-22 00:00:00,0.9253,0.0,332.36385820000004,1.327012833800321,23.75,2024-01-21 12:09:57.112192,2024-01-22 12:00:00,0.0,67.56762708333333,1380,14.1892016875,14.806123499999998
48,2024-01-22 00:15:00,0.9334,0.0,331.90293572,1.3367729824873251,23.75,2024-01-21 12:09:57.112192,2024-01-22 12:00:00,0.0,67.56762708333333,1380,14.1892016875,14.806123499999998
49,2024-01-22 00:30:00,0.9218,0.0,332.79010952,1.3236887673608941,23.75,2024-01-21 12:09:57.112192,2024-01-22 12:00:00,0.0,67.56762708333333,1380,14.1892016875,14.806123499999998
50,2024-01-22 00:45:00,0.9234,0.0,332.86149132,1.3262707569144487,23.75,2024-01-21 12:09:57.112192,2024-01-22 12:00:00,0.0,67.56762708333333,1380,14.1892016875,14.806123499999998
51,2024-01-22 01:00:00,0.9237,0.0,333.03280764,1.3273844675845696,23.75,2024-01-21 12:09:57.112192,2024-01-22 12:00:00,0.0,67.56762708333333,1380,14.1892016875,14.806123499999998
52,2024-01-22 01:15:00,0.9102,0.0,334.80511576,1.3149452953102554,23.75,2024-01-21 12:09:57.112192,2024-01-22 12:00:00,0.0,67.56762708333333,1380,14.1892016875,14.806123499999998
53,2024-01-22 01:30:00,0.9334,0.0,335.15896554,1.3498869752397753,23.75,2024-01-21 12:09:57.112192,2024-01-22 12:00:00,0.0,67.56762708333333,1380,14.1892016875,14.806123499999998
54,2024-01-22 01:45:00,0.9194,0.0,335.800382,1.3321847393511912,23.75,2024-01-21 12:09:57.112192,2024-01-22 12:00:00,0.0,67.56762708333333,1380,14.1892016875,14.806123499999998
55,2024-01-22 02:00:00,0.9278,0.0,336.10222504,1.3455645130584275,23.75,2024-01-21 12:09:57.112192,2024-01-22 12:00:00,0.0,67.56762708333333,1380,14.1892016875,14.806123499999998
