,tP,tI,G,P,Target,ITargetDay,PRDay
28320,2023-10-23 00:00:00,2023-10-23 00:00:00,0.6,0.567,0.61772183540928,0.5,94.74254090471607
28321,2023-10-23 00:15:00,2023-10-23 00:15:00,0.5,0.6,0.5149492165728,0.5333333333333333,120.30798845043311
28322,2023-10-23 00:30:00,2023-10-23 00:30:00,0.6,0.633,0.6183735088435199,0.4666666666666666,105.77077317933912
28323,2023-10-23 00:45:00,2023-10-23 00:45:00,0.6,0.533,0.6190251822777602,0.5333333333333333,89.06133033900119
28324,2023-10-23 01:00:00,2023-10-23 01:00:00,0.6,0.733,0.62032852914624,0.5,122.48021601967704
28325,2023-10-23 01:15:00,2023-10-23 01:15:00,0.6,0.5,0.6201113046681601,0.5,83.54721420168966
28326,2023-10-23 01:30:00,2023-10-23 01:30:00,0.6,0.6,0.6201113046681601,0.4666666666666666,100.25665704202757
28327,2023-10-23 01:45:00,2023-10-23 01:45:00,0.6,0.533,0.6229352228832,0.5,89.06133033900119
28328,2023-10-23 02:00:00,2023-10-23 02:00:00,0.6,0.567,0.62315244736128,0.4666666666666666,94.74254090471607
28329,2023-10-23 02:15:00,2023-10-23 02:15:00,0.6,1.333,0.6207629781024,0.4666666666666666,222.7368730617046
28330,2023-10-23 02:30:00,2023-10-23 02:30:00,0.6,0.8,0.62032852914624,0.43333333333333335,133.67554272270345
28331,2023-10-23 02:45:00,2023-10-23 02:45:00,0.5,0.533,0.5158543185648,0.4666666666666666,106.87359640680141
28332,2023-10-23 03:00:00,2023-10-23 03:00:00,0.6,0.667,0.61880795779968,0.4666666666666666,111.45198374505401
28333,2023-10-23 03:15:00,2023-10-23 03:15:00,0.6,0.7835000000000001,0.6191337945168001,0.4666666666666666,130.91848465404772
28334,2023-10-23 03:30:00,2023-10-23 03:30:00,0.6,0.9,0.61945963123392,0.5,150.3849855630414
