,t,Q,P,h,Target,dt,tIn,tOff,PRlast24,EnergiaPersa,MinutiFermi,MancataProduzione,Corrispettivo
0,2024-01-16 17:15:00.010,1.623718,-0.456,0.2013578604,0.0028253231169265017,23.75000083333333,2024-01-16 17:03:20.880173,2024-01-17 17:00:00.013,-14217.284114013062,-10.857708333333333,1425,-2.2801187499999997,0.0
1,2024-01-16 17:30:00.007,1.984558,-0.44,0.2013578604,0.003419737231424612,23.75000083333333,2024-01-16 17:03:20.880173,2024-01-17 17:00:00.013,-11224.093745237136,-10.857708333333333,1425,-2.2801187499999997,0.0
2,2024-01-16 17:45:00.007,1.804138,-0.4448,0.2013578604,0.0031088423161368607,23.75000083333333,2024-01-16 17:03:20.880173,2024-01-17 17:00:00.013,-12481.231237584565,-10.857708333333333,1425,-2.2801187499999997,0.0
3,2024-01-16 18:00:00.003,1.623718,-0.4272,0.2013578604,0.0028253231169265017,23.75000083333333,2024-01-16 17:03:20.880173,2024-01-17 17:00:00.013,-13319.350380496451,-10.857708333333333,1425,-2.2801187499999997,0.0
4,2024-01-16 18:15:00.010,0.541138,-0.4464,0.2013578604,0.0009285152508957897,23.75000083333333,2024-01-16 17:03:20.880173,2024-01-17 17:00:00.013,-41761.737434316245,-10.857708333333333,1425,-2.2801187499999997,0.0
5,2024-01-16 18:30:00.003,0.541138,-0.4368,0.2013578604,0.0009285152508957897,23.75000083333333,2024-01-16 17:03:20.880173,2024-01-17 17:00:00.013,-40863.63555400836,-10.857708333333333,1425,-2.2801187499999997,0.0
6,2024-01-16 18:45:00.013,0.901978,-0.4304,0.2013578604,0.0015915651633974155,23.75000083333333,2024-01-16 17:03:20.880173,2024-01-17 17:00:00.013,-24156.762115655016,-10.857708333333333,1425,-2.2801187499999997,0.0
7,2024-01-16 19:00:00.000,1.443298,-0.4288,0.2013578604,0.0025389340981683477,23.75000083333333,2024-01-16 17:03:20.880173,2024-01-17 17:00:00.013,-15040.461824471873,-10.857708333333333,1425,-2.2801187499999997,0.0
8,2024-01-16 19:15:00.000,0.901978,-0.4432,0.2013578604,0.0015915651633974155,23.75000083333333,2024-01-16 17:03:20.880173,2024-01-17 17:00:00.013,-24875.178832849215,-10.857708333333333,1425,-2.2801187499999997,0.0
9,2024-01-16 19:30:00.010,1.623718,-0.4656,0.2013578604,0.0028253231169265017,23.75000083333333,2024-01-16 17:03:20.880173,2024-01-17 17:00:00.013,-14516.595358518603,-10.857708333333333,1425,-2.2801187499999997,0.0
10,2024-01-16 19:45:00.017,1.262817,-0.4576,0.2013578604,0.0022359081825111477,23.75000083333333,2024-01-16 17:03:20.880173,2024-01-17 17:00:00.013,-18344.58962482667,-10.857708333333333,1425,-2.2801187499999997,0.0
11,2024-01-16 20:00:00.013,1.984558,-0.464,0.2013578604,0.003419737231424612,23.75000083333333,2024-01-16 17:03:20.880173,2024-01-17 17:00:00.013,-11836.317040431892,-10.857708333333333,1425,-2.2801187499999997,0.0
12,2024-01-16 20:15:00.007,1.623718,-0.432,0.2013578604,0.0028253231169265017,23.75000083333333,2024-01-16 17:03:20.880173,2024-01-17 17:00:00.013,-13469.00600274922,-10.857708333333333,1425,-2.2801187499999997,0.0
13,2024-01-16 20:30:00.017,1.623718,-0.4544,0.2013578604,0.0028253231169265017,23.75000083333333,2024-01-16 17:03:20.880173,2024-01-17 17:00:00.013,-14167.398906595474,-10.857708333333333,1425,-2.2801187499999997,0.0
14,2024-01-16 20:45:00.013,1.082397,-0.456,0.2013578604,0.0019188718749463306,23.75000083333333,2024-01-16 17:03:20.880173,2024-01-17 17:00:00.013,-21327.53520846516,-10.857708333333333,1425,-2.2801187499999997,0.0
15,2024-01-16 21:00:00.010,1.623718,-0.4656,0.2013578604,0.0028253231169265017,23.75000083333333,2024-01-16 17:03:20.880173,2024-01-17 17:00:00.013,-14516.595358518603,-10.857708333333333,1425,-2.2801187499999997,0.0
16,2024-01-16 21:15:00.013,1.082397,-0.464,0.2013578604,0.0019188718749463306,23.75000083333333,2024-01-16 17:03:20.880173,2024-01-17 17:00:00.013,-21701.702492824195,-10.857708333333333,1425,-2.2801187499999997,0.0
17,2024-01-16 21:30:00.007,1.443298,-0.4416,0.2013578604,0.0025389340981683477,23.75000083333333,2024-01-16 17:03:20.880173,2024-01-17 17:00:00.013,-15489.4308341576,-10.857708333333333,1425,-2.2801187499999997,0.0
18,2024-01-16 21:45:00.003,1.443298,-0.4544,0.2013578604,0.0025389340981683477,23.75000083333333,2024-01-16 17:03:20.880173,2024-01-17 17:00:00.013,-15938.39984384333,-10.857708333333333,1425,-2.2801187499999997,0.0
19,2024-01-16 22:00:00.013,1.262817,-0.4528,0.2013578604,0.0022359081825111477,23.75000083333333,2024-01-16 17:03:20.880173,2024-01-17 17:00:00.013,-18152.163859531283,-10.857708333333333,1425,-2.2801187499999997,0.0
20,2024-01-16 22:15:00.013,1.262817,-0.4592,0.2013578604,0.0022359081825111477,23.75000083333333,2024-01-16 17:03:20.880173,2024-01-17 17:00:00.013,-18408.731546591796,-10.857708333333333,1425,-2.2801187499999997,0.0
21,2024-01-16 22:30:00.010,0.901978,-0.4544,0.2043253038,0.0016150203169752865,23.75000083333333,2024-01-16 17:03:20.880173,2024-01-17 17:00:00.013,-25133.398496229118,-10.857708333333333,1425,-2.2801187499999997,0.0
22,2024-01-16 22:45:00.003,1.082397,-0.4576,0.2013578604,0.0019188718749463306,23.75000083333333,2024-01-16 17:03:20.880173,2024-01-17 17:00:00.013,-21402.36866533697,-10.857708333333333,1425,-2.2801187499999997,0.0
23,2024-01-16 23:00:00.003,0.901978,-0.4624,0.2013578604,0.0015915651633974155,23.75000083333333,2024-01-16 17:03:20.880173,2024-01-17 17:00:00.013,-25952.803908640515,-10.857708333333333,1425,-2.2801187499999997,0.0
24,2024-01-16 23:15:00.003,1.262817,-0.456,0.20728254980000002,0.0023016968310495337,23.75000083333333,2024-01-16 17:03:20.880173,2024-01-17 17:00:00.013,-17757.943638739267,-10.857708333333333,1425,-2.2801187499999997,0.0
25,2024-01-16 23:30:00.000,1.443298,-0.4608,0.2013578604,0.0025389340981683477,23.75000083333333,2024-01-16 17:03:20.880173,2024-01-17 17:00:00.013,-16162.884348686192,-10.857708333333333,1425,-2.2801187499999997,0.0
26,2024-01-16 23:45:00.013,1.443298,-0.4592,0.2013578604,0.0025389340981683477,23.75000083333333,2024-01-16 17:03:20.880173,2024-01-17 17:00:00.013,-16106.763222475476,-10.857708333333333,1425,-2.2801187499999997,0.0
27,2024-01-17 00:00:00.003,1.443298,-0.4528,0.2013578604,0.0025389340981683477,23.75000083333333,2024-01-16 17:03:20.880173,2024-01-17 17:00:00.013,-15882.278717632613,-10.857708333333333,1425,-2.2801187499999997,0.0
28,2024-01-17 00:15:00.003,1.984558,-0.4496,0.2265250436,0.0038471610887707047,23.75000083333333,2024-01-16 17:03:20.880173,2024-01-17 17:00:00.013,-10194.766344117168,-10.857708333333333,1425,-2.2801187499999997,0.0
29,2024-01-17 00:30:00.003,1.082397,-0.4384,0.2265250436,0.0021587065648768253,23.75000083333333,2024-01-16 17:03:20.880173,2024-01-17 17:00:00.013,-18226.30928212187,-10.857708333333333,1425,-2.2801187499999997,0.0
30,2024-01-17 00:45:00.010,1.443298,-0.4448,0.2265250436,0.002856268715522722,23.75000083333333,2024-01-16 17:03:20.880173,2024-01-17 17:00:00.013,-13868.30992921534,-10.857708333333333,1425,-2.2801187499999997,0.0
31,2024-01-17 01:00:00.010,0.901978,-0.4752,0.2013578604,0.0015915651633974155,23.75000083333333,2024-01-16 17:03:20.880173,2024-01-17 17:00:00.013,-26671.220625834725,-10.857708333333333,1425,-2.2801187499999997,0.0
32,2024-01-17 01:15:00.010,1.262817,-0.4576,0.2013578604,0.0022359081825111477,23.75000083333333,2024-01-16 17:03:20.880173,2024-01-17 17:00:00.013,-18344.58962482667,-10.857708333333333,1425,-2.2801187499999997,0.0
33,2024-01-17 01:30:00.007,1.443298,-0.4544,0.2102397958,0.0026509269878424394,23.75000083333333,2024-01-16 17:03:20.880173,2024-01-17 17:00:00.013,-15265.055212520272,-10.857708333333333,1425,-2.2801187499999997,0.0
34,2024-01-17 01:45:00.010,0.901978,-0.4544,0.2013578604,0.0015915651633974155,23.75000083333333,2024-01-16 17:03:20.880173,2024-01-17 17:00:00.013,-25503.793460394143,-10.857708333333333,1425,-2.2801187499999997,0.0
35,2024-01-17 02:00:00.013,1.262817,-0.4464,0.2102397958,0.0023345345385816026,23.75000083333333,2024-01-16 17:03:20.880173,2024-01-17 17:00:00.013,-17139.566475316868,-10.857708333333333,1425,-2.2801187499999997,0.0
36,2024-01-17 02:15:00.000,0.901978,-0.4624,0.2413316684,0.0019075246205288783,23.75000083333333,2024-01-16 17:03:20.880173,2024-01-17 17:00:00.013,-21654.021211020692,-10.857708333333333,1425,-2.2801187499999997,0.0
37,2024-01-17 02:30:00.017,0.901978,-0.448,0.2013578604,0.0015915651633974155,23.75000083333333,2024-01-16 17:03:20.880173,2024-01-17 17:00:00.013,-25144.58510179704,-10.857708333333333,1425,-2.2801187499999997,0.0
38,2024-01-17 02:45:00.010,1.082397,-0.4496,0.2013578604,0.0019188718749463306,23.75000083333333,2024-01-16 17:03:20.880173,2024-01-17 17:00:00.013,-21028.20138097793,-10.857708333333333,1425,-2.2801187499999997,0.0
39,2024-01-17 03:00:00.003,1.082397,-0.4512,0.2146858622,0.002045883195748258,23.75000083333333,2024-01-16 17:03:20.880173,2024-01-17 17:00:00.013,-19792.928604388017,-10.857708333333333,1425,-2.2801187499999997,0.0
40,2024-01-17 03:15:00.010,1.262817,-0.4512,0.2013578604,0.0022359081825111477,23.75000083333333,2024-01-16 17:03:20.880173,2024-01-17 17:00:00.013,-18088.021937766156,-10.857708333333333,1425,-2.2801187499999997,0.0
41,2024-01-17 03:30:00.007,0.901978,-0.4544,0.2013578604,0.0015915651633974155,23.75000083333333,2024-01-16 17:03:20.880173,2024-01-17 17:00:00.013,-25503.793460394143,-10.857708333333333,1425,-2.2801187499999997,0.0
42,2024-01-17 03:45:00.010,1.443298,-0.472,0.2102397958,0.0026509269878424394,23.75000083333333,2024-01-16 17:03:20.880173,2024-01-17 17:00:00.013,-15856.30735103338,-10.857708333333333,1425,-2.2801187499999997,0.0
43,2024-01-17 04:00:00.003,1.262817,-0.4464,0.2013578604,0.0022359081825111477,23.75000083333333,2024-01-16 17:03:20.880173,2024-01-17 17:00:00.013,-17895.59617247077,-10.857708333333333,1425,-2.2801187499999997,0.0
44,2024-01-17 04:15:00.017,1.082397,-0.4624,0.2013578604,0.0019188718749463306,23.75000083333333,2024-01-16 17:03:20.880173,2024-01-17 17:00:00.013,-21626.86903595239,-10.857708333333333,1425,-2.2801187499999997,0.0
45,2024-01-17 04:30:00.000,1.082397,-0.4672,0.2013578604,0.0019188718749463306,23.75000083333333,2024-01-16 17:03:20.880173,2024-01-17 17:00:00.013,-21851.36940656781,-10.857708333333333,1425,-2.2801187499999997,0.0
46,2024-01-17 04:45:00.010,0.901978,-0.4656,0.2013578604,0.0015915651633974155,23.75000083333333,2024-01-16 17:03:20.880173,2024-01-17 17:00:00.013,-26132.408087939075,-10.857708333333333,1425,-2.2801187499999997,0.0
47,2024-01-17 05:00:00.007,1.262817,-0.44,0.2013578604,0.0022359081825111477,23.75000083333333,2024-01-16 17:03:20.880173,2024-01-17 17:00:00.013,-17639.028485410257,-10.857708333333333,1425,-2.2801187499999997,0.0
48,2024-01-17 05:15:00.010,1.443298,-0.464,0.2013578604,0.0025389340981683477,23.75000083333333,2024-01-16 17:03:20.880173,2024-01-17 17:00:00.013,-16275.126601107624,-10.857708333333333,1425,-2.2801187499999997,0.0
