,tP,tI,G,P,Target,ITargetDay,PRDay
0,2023-10-26 00:00:00,2023-10-26 00:00:00,0.0,0.0,0.0,0.0,
1,2023-10-26 00:10:00,2023-10-26 00:10:00,0.0,0.0,0.0,0.0,
2,2023-10-26 00:20:00,2023-10-26 00:20:00,0.0,0.0,0.0,0.0,
3,2023-10-26 00:30:00,2023-10-26 00:30:00,0.0,0.0,0.0,0.0,
4,2023-10-26 00:40:00,2023-10-26 00:40:00,0.0,0.0,0.0,0.0,
5,2023-10-26 00:50:00,2023-10-26 00:50:00,0.0,0.0,0.0,0.0,
6,2023-10-26 01:00:00,2023-10-26 01:00:00,0.0,0.0,0.0,0.0,
7,2023-10-26 01:10:00,2023-10-26 01:10:00,0.0,0.0,0.0,0.0,
8,2023-10-26 01:20:00,2023-10-26 01:20:00,0.0,0.0,0.0,0.0,
9,2023-10-26 01:30:00,2023-10-26 01:30:00,0.0,0.0,0.0,0.0,
10,2023-10-26 01:40:00,2023-10-26 01:40:00,0.0,0.0,0.0,0.0,
11,2023-10-26 01:50:00,2023-10-26 01:50:00,0.0,0.0,0.0,0.0,
12,2023-10-26 02:00:00,2023-10-26 02:00:00,0.0,0.0,0.0,0.0,
13,2023-10-26 02:10:00,2023-10-26 02:10:00,0.0,0.0,0.0,0.0,
14,2023-10-26 02:20:00,2023-10-26 02:20:00,0.0,0.0,0.0,0.0,
15,2023-10-26 02:30:00,2023-10-26 02:30:00,0.0,0.0,0.0,0.0,
16,2023-10-26 02:40:00,2023-10-26 02:40:00,0.0,0.0,0.0,0.0,
17,2023-10-26 02:50:00,2023-10-26 02:50:00,0.0,0.0,0.0,0.0,
18,2023-10-26 03:00:00,2023-10-26 03:00:00,0.0,0.0,0.0,0.0,
19,2023-10-26 03:10:00,2023-10-26 03:10:00,0.0,0.0,0.0,0.0,
20,2023-10-26 03:20:00,2023-10-26 03:20:00,0.0,0.0,0.0,0.0,
21,2023-10-26 03:30:00,2023-10-26 03:30:00,0.0,0.0,0.0,0.0,
22,2023-10-26 03:40:00,2023-10-26 03:40:00,0.0,0.0,0.0,0.0,
23,2023-10-26 03:50:00,2023-10-26 03:50:00,0.0,0.0,0.0,0.0,
24,2023-10-26 04:00:00,2023-10-26 04:00:00,0.0,0.0,0.0,0.0,
25,2023-10-26 04:10:00,2023-10-26 04:10:00,0.0,0.0,0.0,0.0,
26,2023-10-26 04:20:00,2023-10-26 04:20:00,0.0,0.0,0.0,0.0,
27,2023-10-26 04:30:00,2023-10-26 04:30:00,0.0,0.0,0.0,0.0,
28,2023-10-26 04:40:00,2023-10-26 04:40:00,0.0,0.0,0.0,0.0,
29,2023-10-26 04:50:00,2023-10-26 04:50:00,0.0,0.0,0.0,0.0,
30,2023-10-26 05:00:00,2023-10-26 05:00:00,0.0,0.0,0.0,0.0,
31,2023-10-26 05:10:00,2023-10-26 05:10:00,0.0,0.0,0.0,0.0,
