t,I,P,TMod,Eta
2024-01-01 00:00:00,0.0,0.0,8.2,
2024-01-01 00:10:00,0.0,0.0,8.1,
2024-01-01 00:20:00,0.0,0.0,7.6,
2024-01-01 00:30:00,0.0,0.0,7.5,
2024-01-01 00:40:00,0.0,0.0,8.2,
2024-01-01 00:50:00,0.0,0.0,8.8,
2024-01-01 01:00:00,0.0,0.0,9.3,
2024-01-01 01:10:00,0.0,0.0,9.2,
2024-01-01 01:20:00,0.0,0.0,8.8,
2024-01-01 01:30:00,0.0,0.0,8.4,
2024-01-01 01:40:00,0.0,0.0,8.7,
2024-01-01 01:50:00,0.0,0.0,8.7,
2024-01-01 02:00:00,0.0,0.0,8.6,
2024-01-01 02:10:00,0.0,0.0,8.7,
2024-01-01 02:20:00,0.0,0.0,8.5,
2024-01-01 02:30:00,0.0,0.0,8.6,
2024-01-01 02:40:00,0.0,0.0,8.3,
2024-01-01 02:50:00,0.0,0.0,7.7,
2024-01-01 03:00:00,0.0,0.0,7.1,
2024-01-01 03:10:00,0.0,0.0,6.7,
2024-01-01 03:20:00,0.0,0.0,6.2,
2024-01-01 03:30:00,0.0,0.0,5.9,
2024-01-01 03:40:00,0.0,0.0,5.8,
2024-01-01 03:50:00,0.0,0.0,5.9,
2024-01-01 04:00:00,0.0,0.0,5.6,
2024-01-01 04:10:00,0.0,0.0,6.3,
2024-01-01 04:20:00,0.0,0.0,7.5,
2024-01-01 04:30:00,0.0,0.0,7.2,
2024-01-01 04:40:00,0.0,0.0,7.3,
2024-01-01 04:50:00,0.0,0.0,7.8,
2024-01-01 05:00:00,0.0,0.0,7.9,
2024-01-01 05:10:00,0.0,0.0,8.3,
2024-01-01 05:20:00,0.0,0.0,9.1,
2024-01-01 05:30:00,0.0,0.0,9.3,
2024-01-01 05:40:00,0.0,0.0,9.4,
2024-01-01 05:50:00,0.0,0.0,9.5,
2024-01-01 06:00:00,0.0,0.0,9.4,
2024-01-01 06:10:00,0.0,0.0,9.4,
2024-01-01 06:20:00,0.0,0.0,9.5,
2024-01-01 06:30:00,0.0,0.0,9.3,
2024-01-01 06:40:00,0.0,0.0,9.2,
2024-01-01 06:50:00,0.0,0.0,9.2,
2024-01-01 07:00:01,0.0,0.0,8.6,
2024-01-01 07:10:00,0.0,0.0,8.4,
2024-01-01 07:20:00,0.0,0.0,7.9,
2024-01-01 07:30:00,0.0,0.0,8.2,
2024-01-01 07:40:00,0.0,0.0,8.6,
2024-01-01 07:50:00,0.0,0.0,8.4,
2024-01-01 08:00:00,0.0,0.0,8.6,
2024-01-01 08:10:00,0.3,0.0,8.5,0.0
2024-01-01 08:20:00,2.7,0.0,8.2,0.0
2024-01-01 08:30:00,8.1,0.0,8.0,0.0
2024-01-01 08:40:00,17.9,12.0,8.0,0.7234644106152487
2024-01-01 08:50:00,29.2,25.0,8.3,0.9239449878719285
2024-01-01 09:00:00,114.8,39.0,11.6,0.3666162202747569
2024-01-01 09:10:00,129.8,48.0,13.4,0.3990758998463158
2024-01-01 09:20:00,131.7,56.0,15.0,0.45887163072685727
2024-01-01 09:30:00,149.4,56.0,15.4,0.40450732106243037
2024-01-01 09:40:00,,62.0,,
2024-01-01 09:50:00,110.9,74.0,15.8,0.7200938971302662
2024-01-01 10:00:00,112.7,75.0,13.5,0.7181684200317741
2024-01-01 10:10:00,,83.0,,
2024-01-01 10:20:00,129.9,90.0,15.3,0.7476912788691079
2024-01-01 10:30:00,,107.0,,
