,tP,tI,G,P,Target,PRlast24,EnergiaPersa,MinutiFermi,MancataProduzione,Corrispettivo,EIncMese,CorrMese
0,2024-01-17 16:10:00,2024-01-17 16:10:00,7.0,0.0,6.624575018661599,0.0,1565.0612262808786,705,0,478.42500000000007,23.546 kWh,"5.297,0 €"
1,2024-01-17 16:20:00,2024-01-17 16:20:00,9.2,0.0,8.678735149518719,0.0,1565.0612262808786,705,0,478.42500000000007,23.546 kWh,"5.297,0 €"
2,2024-01-17 16:30:00,2024-01-17 16:30:00,10.2,0.0,9.642660088913278,0.0,1565.0612262808786,705,0,478.42500000000007,23.546 kWh,"5.297,0 €"
3,2024-01-17 16:40:00,2024-01-17 16:40:00,3.3,0.0,3.10747491290808,0.0,1565.0612262808786,705,0,478.42500000000007,23.546 kWh,"5.297,0 €"
4,2024-01-17 16:50:00,2024-01-17 16:50:00,1.4,0.0,1.3253858832614396,0.0,1565.0612262808786,705,0,478.42500000000007,23.546 kWh,"5.297,0 €"
5,2024-01-17 17:00:00,2024-01-17 17:00:00,0.5,0.0,0.473015758644,0.0,1565.0612262808786,705,0,478.42500000000007,23.546 kWh,"5.297,0 €"
6,2024-01-17 17:10:00,2024-01-17 17:10:00,0.1,0.0,0.09453588322464,0.0,1565.0612262808786,705,0,478.42500000000007,23.546 kWh,"5.297,0 €"
7,2024-01-17 17:20:00,2024-01-17 17:20:00,0.0,0.0,0.0,,1565.0612262808786,705,0,478.42500000000007,23.546 kWh,"5.297,0 €"
8,2024-01-17 17:30:00,2024-01-17 17:30:00,0.0,0.0,0.0,,1565.0612262808786,705,0,478.42500000000007,23.546 kWh,"5.297,0 €"
9,2024-01-17 17:40:00,2024-01-17 17:40:00,0.0,0.0,0.0,,1565.0612262808786,705,0,478.42500000000007,23.546 kWh,"5.297,0 €"
10,2024-01-17 17:50:00,2024-01-17 17:50:00,0.0,0.0,0.0,,1565.0612262808786,705,0,478.42500000000007,23.546 kWh,"5.297,0 €"
11,2024-01-17 18:00:00,2024-01-17 18:00:00,0.0,0.0,0.0,,1565.0612262808786,705,0,478.42500000000007,23.546 kWh,"5.297,0 €"
12,2024-01-17 18:10:00,2024-01-17 18:10:00,0.0,0.0,0.0,,1565.0612262808786,705,0,478.42500000000007,23.546 kWh,"5.297,0 €"
13,2024-01-17 18:20:00,2024-01-17 18:20:00,0.0,0.0,0.0,,1565.0612262808786,705,0,478.42500000000007,23.546 kWh,"5.297,0 €"
14,2024-01-17 18:30:00,2024-01-17 18:30:00,0.0,0.0,0.0,,1565.0612262808786,705,0,478.42500000000007,23.546 kWh,"5.297,0 €"
15,2024-01-17 18:40:00,2024-01-17 18:40:00,0.0,0.0,0.0,,1565.0612262808786,705,0,478.42500000000007,23.546 kWh,"5.297,0 €"
16,2024-01-17 18:50:00,2024-01-17 18:50:00,0.0,0.0,0.0,,1565.0612262808786,705,0,478.42500000000007,23.546 kWh,"5.297,0 €"
17,2024-01-17 19:00:00,2024-01-17 19:00:00,0.0,0.0,0.0,,1565.0612262808786,705,0,478.42500000000007,23.546 kWh,"5.297,0 €"
18,2024-01-17 19:10:00,2024-01-17 19:10:00,0.0,0.0,0.0,,1565.0612262808786,705,0,478.42500000000007,23.546 kWh,"5.297,0 €"
19,2024-01-17 19:20:00,2024-01-17 19:20:00,0.0,0.0,0.0,,1565.0612262808786,705,0,478.42500000000007,23.546 kWh,"5.297,0 €"
20,2024-01-17 19:30:00,2024-01-17 19:30:00,0.0,0.0,0.0,,1565.0612262808786,705,0,478.42500000000007,23.546 kWh,"5.297,0 €"
21,2024-01-17 19:40:00,2024-01-17 19:40:00,0.0,0.0,0.0,,1565.0612262808786,705,0,478.42500000000007,23.546 kWh,"5.297,0 €"
22,2024-01-17 19:50:00,2024-01-17 19:50:00,0.0,0.0,0.0,,1565.0612262808786,705,0,478.42500000000007,23.546 kWh,"5.297,0 €"
23,2024-01-17 20:00:00,2024-01-17 20:00:00,0.0,0.0,0.0,,1565.0612262808786,705,0,478.42500000000007,23.546 kWh,"5.297,0 €"
24,2024-01-17 20:10:00,2024-01-17 20:10:00,0.0,0.0,0.0,,1565.0612262808786,705,0,478.42500000000007,23.546 kWh,"5.297,0 €"
25,2024-01-17 20:20:00,2024-01-17 20:20:00,0.0,0.0,0.0,,1565.0612262808786,705,0,478.42500000000007,23.546 kWh,"5.297,0 €"
26,2024-01-17 20:30:00,2024-01-17 20:30:00,0.0,0.0,0.0,,1565.0612262808786,705,0,478.42500000000007,23.546 kWh,"5.297,0 €"
27,2024-01-17 20:40:00,2024-01-17 20:40:00,0.0,0.0,0.0,,1565.0612262808786,705,0,478.42500000000007,23.546 kWh,"5.297,0 €"
28,2024-01-17 20:50:00,2024-01-17 20:50:00,0.0,0.0,0.0,,1565.0612262808786,705,0,478.42500000000007,23.546 kWh,"5.297,0 €"
29,2024-01-17 21:00:00,2024-01-17 21:00:00,0.0,0.0,0.0,,1565.0612262808786,705,0,478.42500000000007,23.546 kWh,"5.297,0 €"
30,2024-01-17 21:10:00,2024-01-17 21:10:00,0.0,0.0,0.0,,1565.0612262808786,705,0,478.42500000000007,23.546 kWh,"5.297,0 €"
31,2024-01-17 21:20:00,2024-01-17 21:20:00,0.0,0.0,0.0,,1565.0612262808786,705,0,478.42500000000007,23.546 kWh,"5.297,0 €"
32,2024-01-17 21:30:00,2024-01-17 21:30:00,0.0,0.0,0.0,,1565.0612262808786,705,0,478.42500000000007,23.546 kWh,"5.297,0 €"
33,2024-01-17 21:40:00,2024-01-17 21:40:00,0.0,0.0,0.0,,1565.0612262808786,705,0,478.42500000000007,23.546 kWh,"5.297,0 €"
34,2024-01-17 21:50:00,2024-01-17 21:50:00,0.0,0.0,0.0,,1565.0612262808786,705,0,478.42500000000007,23.546 kWh,"5.297,0 €"
