t,I,P,TMod,Eta
2024-02-26 16:30:00,172.0,106.0,21.7,0.6650684945258589
2024-02-26 16:30:00,172.0,106.0,21.7,0.6650684945258589
2024-02-26 16:40:00,151.6,76.0,22.0,0.5410075770673836
2024-02-26 16:40:00,151.6,76.0,22.0,0.5410075770673836
2024-02-26 16:50:00,114.4,79.0,18.3,0.7452294748332045
2024-02-26 16:50:00,114.4,79.0,18.3,0.7452294748332045
2024-02-26 17:00:00,,78.0,,
2024-02-26 17:00:00,,78.0,,
2024-02-26 17:10:00,115.9,74.0,16.6,0.6890285866414713
2024-02-26 17:10:00,115.9,74.0,16.6,0.6890285866414713
2024-02-26 17:20:00,,68.0,,
2024-02-26 17:30:00,95.9,31.0,16.5,0.3488446310830739
2024-02-26 17:30:00,95.9,31.0,16.5,0.3488446310830739
2024-02-26 17:40:00,93.9,63.0,17.0,0.7240422575885834
2024-02-26 17:40:00,93.9,63.0,17.0,0.7240422575885834
2024-02-26 17:50:00,92.0,53.0,16.5,0.6216944622741725
2024-02-26 17:50:00,92.0,53.0,16.5,0.6216944622741725
2024-02-26 18:00:00,71.6,33.0,16.8,0.49738178229798347
2024-02-26 18:00:00,71.6,33.0,16.8,0.49738178229798347
2024-02-26 18:10:00,52.8,18.0,14.9,0.3678980951708225
2024-02-26 18:10:00,52.8,18.0,14.9,0.3678980951708225
2024-02-26 18:20:00,24.4,10.0,14.5,0.4422818630468904
2024-02-26 18:20:00,24.4,10.0,14.5,0.4422818630468904
2024-02-26 18:30:00,16.7,2.0,13.4,0.12924164620771408
2024-02-26 18:30:00,16.7,2.0,13.4,0.12924164620771408
2024-02-26 18:40:00,8.2,0.0,12.9,0.0
2024-02-26 18:40:00,8.2,0.0,12.9,0.0
2024-02-26 18:50:00,1.6,0.0,11.9,0.0
2024-02-26 18:50:00,1.6,0.0,11.9,0.0
2024-02-26 19:00:00,0.2,0.0,11.8,0.0
2024-02-26 19:00:00,0.2,0.0,11.8,0.0
2024-02-26 19:10:00,0.0,0.0,11.7,
2024-02-26 19:10:00,0.0,0.0,11.7,
2024-02-26 19:20:00,0.0,0.0,11.6,
2024-02-26 19:20:00,0.0,0.0,11.6,
2024-02-26 19:30:00,0.0,0.0,11.5,
2024-02-26 19:40:00,0.0,0.0,11.2,
2024-02-26 19:40:00,0.0,0.0,11.2,
2024-02-26 19:50:00,0.0,0.0,10.9,
2024-02-26 19:50:00,0.0,0.0,10.9,
2024-02-26 20:00:00,0.0,0.0,10.7,
2024-02-26 20:00:00,0.0,0.0,10.7,
2024-02-26 20:10:00,0.0,0.0,10.5,
2024-02-26 20:10:00,0.0,0.0,10.5,
2024-02-26 20:20:00,0.0,0.0,10.4,
2024-02-26 20:20:00,0.0,0.0,10.4,
2024-02-26 20:30:00,0.0,0.0,10.3,
2024-02-26 20:30:00,0.0,0.0,10.3,
2024-02-26 20:40:00,0.0,0.0,10.1,
2024-02-26 20:40:00,0.0,0.0,10.1,
2024-02-26 20:50:00,0.0,0.0,10.1,
2024-02-26 20:50:00,0.0,0.0,10.1,
2024-02-26 21:00:01,0.0,0.0,10.0,
2024-02-26 21:00:01,0.0,0.0,10.0,
2024-02-26 21:10:00,0.0,,9.9,
2024-02-26 21:10:00,0.0,0.0,9.9,
2024-02-26 21:20:00,0.0,0.0,9.9,
2024-02-26 21:20:00,0.0,0.0,9.9,
2024-02-26 21:30:00,0.0,0.0,9.9,
2024-02-26 21:30:00,0.0,0.0,9.9,
2024-02-26 21:40:00,0.0,0.0,10.0,
2024-02-26 21:40:00,0.0,0.0,10.0,
2024-02-26 21:50:00,0.0,0.0,10.1,
2024-02-26 21:50:00,0.0,0.0,10.1,
2024-02-26 22:00:00,0.0,0.0,10.3,
2024-02-26 22:00:00,0.0,0.0,10.3,
2024-02-26 22:10:00,0.0,0.0,10.3,
2024-02-26 22:20:00,0.0,0.0,10.0,
2024-02-26 22:20:00,0.0,0.0,10.0,
2024-02-26 22:30:00,0.0,0.0,9.9,
2024-02-26 22:30:00,0.0,0.0,9.9,
2024-02-26 22:40:00,0.0,0.0,9.8,
2024-02-26 22:40:00,0.0,0.0,9.8,
2024-02-26 22:50:00,0.0,0.0,9.6,
2024-02-26 22:50:00,0.0,0.0,9.6,
2024-02-26 23:00:00,0.0,0.0,9.6,
2024-02-26 23:00:00,0.0,0.0,9.6,
2024-02-26 23:10:00,0.0,0.0,9.6,
2024-02-26 23:10:00,0.0,0.0,9.6,
2024-02-26 23:20:00,0.0,0.0,9.6,
2024-02-26 23:20:00,0.0,0.0,9.6,
2024-02-26 23:30:00,0.0,0.0,9.3,
2024-02-26 23:30:00,0.0,0.0,9.3,
2024-02-26 23:40:00,0.0,0.0,8.9,
2024-02-26 23:40:00,0.0,0.0,8.9,
2024-02-26 23:50:00,0.0,0.0,8.4,
2024-02-26 23:50:00,0.0,0.0,8.4,
2024-02-27 00:00:00,0.0,0.0,8.0,
2024-02-27 00:00:00,0.0,0.0,8.0,
2024-02-27 00:10:00,0.0,0.0,7.4,
2024-02-27 00:10:00,0.0,0.0,7.4,
2024-02-27 00:20:00,0.0,0.0,6.8,
2024-02-27 00:20:00,0.0,0.0,6.8,
2024-02-27 00:30:00,0.0,0.0,6.4,
2024-02-27 00:40:00,0.0,0.0,6.2,
2024-02-27 00:40:00,0.0,0.0,6.2,
2024-02-27 00:50:00,0.0,0.0,6.1,
2024-02-27 00:50:00,0.0,0.0,6.1,
2024-02-27 01:00:00,0.0,0.0,5.8,
2024-02-27 01:00:00,0.0,0.0,5.8,
2024-02-27 01:10:01,0.0,0.0,5.5,
2024-02-27 01:10:01,0.0,0.0,5.5,
2024-02-27 01:20:00,0.0,,5.6,
2024-02-27 01:20:00,0.0,0.0,5.6,
2024-02-27 01:30:00,0.0,0.0,5.7,
2024-02-27 01:30:00,0.0,0.0,5.7,
2024-02-27 01:40:00,0.0,0.0,5.6,
2024-02-27 01:40:00,0.0,0.0,5.6,
2024-02-27 01:50:00,0.0,0.0,5.5,
2024-02-27 01:50:00,0.0,0.0,5.5,
2024-02-27 02:00:00,0.0,0.0,5.0,
2024-02-27 02:00:00,0.0,0.0,5.0,
2024-02-27 02:10:00,0.0,0.0,4.8,
2024-02-27 02:10:00,0.0,0.0,4.8,
2024-02-27 02:20:00,0.0,0.0,4.6,
2024-02-27 02:20:00,0.0,0.0,4.6,
2024-02-27 02:30:00,0.0,0.0,4.5,
2024-02-27 02:30:00,0.0,0.0,4.5,
2024-02-27 02:40:00,0.0,0.0,4.4,
2024-02-27 02:40:00,0.0,0.0,4.4,
2024-02-27 02:50:00,0.0,0.0,4.4,
2024-02-27 03:00:00,0.0,0.0,4.1,
2024-02-27 03:00:00,0.0,0.0,4.1,
2024-02-27 03:10:00,0.0,0.0,4.4,
2024-02-27 03:10:00,0.0,0.0,4.4,
2024-02-27 03:20:00,0.0,0.0,4.7,
2024-02-27 03:20:00,0.0,0.0,4.7,
2024-02-27 03:30:00,0.0,0.0,4.9,
2024-02-27 03:30:00,0.0,0.0,4.9,
