,t,Q,P,h,Target,dt,tIn,tOff,PRlast24,EnergiaPersa,MinutiFermi,MancataProduzione,Corrispettivo
0,2024-01-17 16:13:25,66.44917,142.0556,273.820380852,162.93380069017044,23.75,2024-01-17 16:08:29.642539,2024-01-18 15:58:25,79.5855131018092,0.0,0,0.0,726.32960715
1,2024-01-17 16:28:25,21.4847,43.95335,288.456199202,26.74163394994645,23.75,2024-01-17 16:08:29.642539,2024-01-18 15:58:25,72.29592244107077,0.0,0,0.0,726.32960715
2,2024-01-17 16:43:25,94.96492,196.0084,262.056048368,222.8469165389918,23.75,2024-01-17 16:08:29.642539,2024-01-18 15:58:25,80.28756407465052,0.0,0,0.0,726.32960715
3,2024-01-17 16:58:25,53.72246,116.6632,278.174058808,132.11893382651155,23.75,2024-01-17 16:08:29.642539,2024-01-18 15:58:25,79.57787884643493,0.0,0,0.0,726.32960715
4,2024-01-17 17:13:25,73.73766,155.9872,272.02329305,180.31705682392737,23.75,2024-01-17 16:08:29.642539,2024-01-18 15:58:25,79.2728568722195,0.0,0,0.0,726.32960715
5,2024-01-17 17:28:25,65.24783,140.4524,274.635561008,160.3294106444621,23.75,2024-01-17 16:08:29.642539,2024-01-18 15:58:25,79.89825859375264,0.0,0,0.0,726.32960715
6,2024-01-17 17:43:25,63.56917,137.6942,275.00603255,156.27281973975775,23.75,2024-01-17 16:08:29.642539,2024-01-18 15:58:25,80.28933818274578,0.0,0,0.0,726.32960715
7,2024-01-17 17:58:25,76.49966,158.4766,270.281781078,185.93521615914716,23.75,2024-01-17 16:08:29.642539,2024-01-18 15:58:25,78.13036634785489,0.0,0,0.0,726.32960715
8,2024-01-17 18:13:25,60.39956,130.545,276.210243516,148.5140376540054,23.75,2024-01-17 16:08:29.642539,2024-01-18 15:58:25,79.76597527686715,0.0,0,0.0,726.32960715
9,2024-01-17 18:28:25,80.21095,165.8859,268.447676714,193.6478848328367,23.75,2024-01-17 16:08:29.642539,2024-01-18 15:58:25,78.53209010600683,0.0,0,0.0,726.32960715
10,2024-01-17 18:43:25,61.83151,133.2928,276.191684248,152.35717143635335,23.75,2024-01-17 16:08:29.642539,2024-01-18 15:58:25,79.5641142934309,0.0,0,0.0,726.32960715
11,2024-01-17 18:58:25,78.06034,159.9411,269.91130953600003,189.48523074661577,23.75,2024-01-17 16:08:29.642539,2024-01-18 15:58:25,77.38192874970663,0.0,0,0.0,726.32960715
12,2024-01-17 19:13:25,63.03822,136.5557,276.265819346,155.52805079375977,23.75,2024-01-17 16:08:29.642539,2024-01-18 15:58:25,79.92998440175373,0.0,0,0.0,726.32960715
13,2024-01-17 19:28:25,73.93073,155.1533,272.264155638,180.94926703502077,23.75,2024-01-17 16:08:29.642539,2024-01-18 15:58:25,78.5735809429922,0.0,0,0.0,726.32960715
14,2024-01-17 19:43:25,65.56961,140.9227,274.67257757,161.27749192583232,23.75,2024-01-17 16:08:29.642539,2024-01-18 15:58:25,79.76163438935995,0.0,0,0.0,726.32960715
15,2024-01-17 19:58:25,65.01721,139.6938,274.54286664200004,159.70879979797016,23.75,2024-01-17 16:08:29.642539,2024-01-18 15:58:25,79.77551759956896,0.0,0,0.0,726.32960715
16,2024-01-17 20:13:25,74.7352,154.5965,270.244764516,181.5969326082482,23.75,2024-01-17 16:08:29.642539,2024-01-18 15:58:25,78.02758400609076,0.0,0,0.0,726.32960715
17,2024-01-17 20:28:25,64.29319,139.1133,275.17276004,158.14850877248384,23.75,2024-01-17 16:08:29.642539,2024-01-18 15:58:25,80.15474396060362,0.0,0,0.0,726.32960715
18,2024-01-17 20:43:25,74.54749,152.362,271.374840384,181.89829353512255,23.75,2024-01-17 16:08:29.642539,2024-01-18 15:58:25,76.77238826693106,0.0,0,0.0,726.32960715
19,2024-01-17 20:58:25,64.53989,139.2108,275.135743478,158.87866712488025,23.75,2024-01-17 16:08:29.642539,2024-01-18 15:58:25,79.91507047624847,0.0,0,0.0,726.32960715
20,2024-01-17 21:13:25,68.64805,144.5113,274.28354676000004,168.9598715326507,23.75,2024-01-17 16:08:29.642539,2024-01-18 15:58:25,78.23567583364041,0.0,0,0.0,726.32960715
21,2024-01-17 21:28:25,69.55978,144.877,274.11681927,171.18788967277527,23.75,2024-01-17 16:08:29.642539,2024-01-18 15:58:25,77.45269849227199,0.0,0,0.0,726.32960715
22,2024-01-17 21:43:25,83.94369,173.9116,267.22490648,201.66364429740432,23.75,2024-01-17 16:08:29.642539,2024-01-18 15:58:25,79.0304679547043,0.0,0,0.0,726.32960715
23,2024-01-17 21:58:25,63.20984,136.3247,275.61736668,155.58542191646583,23.75,2024-01-17 16:08:29.642539,2024-01-18 15:58:25,79.76534963929068,0.0,0,0.0,726.32960715
24,2024-01-17 22:13:25,78.66637,164.6297,270.244764516,191.1931998380022,23.75,2024-01-17 16:08:29.642539,2024-01-18 15:58:25,78.93921074576545,0.0,0,0.0,726.32960715
25,2024-01-17 22:28:25,64.87777,139.7993,275.320928262,159.81792643052748,23.75,2024-01-17 16:08:29.642539,2024-01-18 15:58:25,79.78125258620497,0.0,0,0.0,726.32960715
26,2024-01-17 22:43:25,75.33051,157.8121,270.541202934,183.24424447998095,23.75,2024-01-17 16:08:29.642539,2024-01-18 15:58:25,78.93451906054071,0.0,0,0.0,726.32960715
27,2024-01-17 22:58:25,66.52425,142.0052,274.39459644600004,163.58584268453112,23.75,2024-01-17 16:08:29.642539,2024-01-18 15:58:25,79.30118896591026,0.0,0,0.0,726.32960715
28,2024-01-17 23:13:25,70.88984,150.0582,272.504916252,173.50872106027867,23.75,2024-01-17 16:08:29.642539,2024-01-18 15:58:25,79.1830794080802,0.0,0,0.0,726.32960715
29,2024-01-17 23:28:25,71.34034,147.1197,273.28307984599996,175.1099761731831,23.75,2024-01-17 16:08:29.642539,2024-01-18 15:58:25,76.92259113388279,0.0,0,0.0,726.32960715
30,2024-01-17 23:43:25,65.87531,140.7686,274.709594132,162.05123928089063,23.75,2024-01-17 16:08:29.642539,2024-01-18 15:58:25,79.29399239327304,0.0,0,0.0,726.32960715
31,2024-01-17 23:58:25,76.08134,159.2726,270.670913862,185.18470680043436,23.75,2024-01-17 16:08:29.642539,2024-01-18 15:58:25,78.84103554020696,0.0,0,0.0,726.32960715
32,2024-01-18 00:13:25,65.34972,140.5034,274.968914014,160.7746905139664,23.75,2024-01-17 16:08:29.642539,2024-01-18 15:58:25,79.70590492061798,0.0,0,0.0,726.32960715
33,2024-01-18 00:28:25,75.76492,157.8782,270.689371156,184.42710457949119,23.75,2024-01-17 16:08:29.642539,2024-01-18 15:58:25,78.47183109301807,0.0,0,0.0,726.32960715
34,2024-01-18 00:43:25,65.25319,140.629,274.876321622,160.48314654900355,23.75,2024-01-17 16:08:29.642539,2024-01-18 15:58:25,79.92208459713316,0.0,0,0.0,726.32960715
35,2024-01-18 00:58:25,75.5933,157.6951,270.83753937800003,184.11006872971234,23.75,2024-01-17 16:08:29.642539,2024-01-18 15:58:25,78.5157940687257,0.0,0,0.0,726.32960715
36,2024-01-18 01:13:25,65.32291,140.0319,274.78372923,160.60049864618796,23.75,2024-01-17 16:08:29.642539,2024-01-18 15:58:25,79.52458976648639,0.0,0,0.0,726.32960715
37,2024-01-18 01:28:25,74.939,154.4717,270.98580957400003,182.5914599204044,23.75,2024-01-17 16:08:29.642539,2024-01-18 15:58:25,77.5399427450968,0.0,0,0.0,726.32960715
38,2024-01-18 01:43:25,65.54279,140.3658,274.67257757,161.21152443977513,23.75,2024-01-17 16:08:29.642539,2024-01-18 15:58:25,79.4789407618272,0.0,0,0.0,726.32960715
39,2024-01-18 01:58:25,74.39732,151.7684,271.41195892,181.52131777257145,23.75,2024-01-17 16:08:29.642539,2024-01-18 15:58:25,76.617164870092,0.0,0,0.0,726.32960715
40,2024-01-18 02:13:25,67.8114,142.7698,274.987473282,167.22715089796267,23.75,2024-01-17 16:08:29.642539,2024-01-18 15:58:25,78.04619281735779,0.0,0,0.0,726.32960715
41,2024-01-18 02:28:25,70.46078,147.6,272.727321546,172.52627611181697,23.75,2024-01-17 16:08:29.642539,2024-01-18 15:58:25,78.29630305460546,0.0,0,0.0,726.32960715
42,2024-01-18 02:43:25,73.019,152.3496,272.671745716,178.94271349500653,23.75,2024-01-17 16:08:29.642539,2024-01-18 15:58:25,78.00030328496955,0.0,0,0.0,726.32960715
43,2024-01-18 02:58:25,63.15084,135.2036,275.41362262800004,155.32529290845426,23.75,2024-01-17 16:08:29.642539,2024-01-18 15:58:25,79.24186689371184,0.0,0,0.0,726.32960715
