,t,Q,P,h,Target,dt,tIn,tOff,PRDay
0,2023-10-26 00:00:00,1.9897,207.9043,14.230471699999999,253.0336583670066,16.5,2023-10-26,2023-10-26 16:30:00,74.84926990036013
1,2023-10-26 00:15:00,1.9851,207.8074,14.232511180000001,252.48484864325306,16.5,2023-10-26,2023-10-26 16:30:00,74.97700327617983
2,2023-10-26 00:30:00,1.9865,207.2828,14.191721580000001,251.93879651002013,16.5,2023-10-26,2023-10-26 16:30:00,74.94982227653601
3,2023-10-26 00:45:00,1.9877,207.0986,14.170307040000003,251.71059541449767,16.5,2023-10-26,2023-10-26 16:30:00,74.95110799598837
4,2023-10-26 01:00:00,1.9874,206.523,14.21211638,252.41516252642398,16.5,2023-10-26,2023-10-26 16:30:00,74.5341626962238
5,2023-10-26 01:15:00,1.9852,206.3517,14.20599794,252.0271988839917,16.5,2023-10-26,2023-10-26 16:30:00,74.5869811606766
6,2023-10-26 01:30:00,1.9835,206.5376,14.191721580000001,251.55832009948398,16.5,2023-10-26,2023-10-26 16:30:00,74.7933234501688
7,2023-10-26 01:45:00,1.985,206.9085,14.18356366,251.60384403684677,16.5,2023-10-26,2023-10-26 16:30:00,74.91408018919678
8,2023-10-26 02:00:00,1.9813,206.7746,14.240669099999998,252.14597120564721,16.5,2023-10-26,2023-10-26 16:30:00,74.70463484706961
9,2023-10-26 02:15:00,1.9819,206.5977,14.20599794,251.6082538123026,16.5,2023-10-26,2023-10-26 16:30:00,74.8002397580143
10,2023-10-26 02:30:00,1.9852,206.961,14.219254559999998,252.2623832631096,16.5,2023-10-26,2023-10-26 16:30:00,74.73747325371251
11,2023-10-26 02:45:00,1.9851,207.2565,14.215175599999998,252.17731533187268,16.5,2023-10-26,2023-10-26 16:30:00,74.86943128223864
12,2023-10-26 03:00:00,1.9794,206.9058,14.16316886,250.53326465078342,16.5,2023-10-26,2023-10-26 16:30:00,75.23322147824473
13,2023-10-26 03:15:00,1.9822,206.7087,14.219254559999998,251.88116870045124,16.5,2023-10-26,2023-10-26 16:30:00,74.75933804502225
14,2023-10-26 03:30:00,1.9839,206.8562,14.22333352,252.16950732275802,16.5,2023-10-26,2023-10-26 16:30:00,74.72714046008404
15,2023-10-26 03:45:00,1.9859,207.7909,14.249846760000002,252.89425788308222,16.5,2023-10-26,2023-10-26 16:30:00,74.84967981356746
16,2023-10-26 04:00:00,1.9793,207.7919,14.27432052,252.486677620178,16.5,2023-10-26,2023-10-26 16:30:00,74.97086778717436
