,t,Q,P,h,Target,dt,tIn,tOff,PRlast24,EnergiaPersa,MinutiFermi,MancataProduzione,Corrispettivo
0,2024-01-17 16:15:00,0.007,0.0,0.46806065999999996,0.0064639912537451305,23.75,2024-01-17 16:07:52.720258,2024-01-18 16:00:00,0.0,0.0,1440,0.0,0.0
1,2024-01-17 16:30:00,0.0071,0.0,0.46500144000000004,0.006513482129824226,23.75,2024-01-17 16:07:52.720258,2024-01-18 16:00:00,0.0,0.0,1440,0.0,0.0
2,2024-01-17 16:45:00,0.0071,0.0,0.46296195999999995,0.006484914225746049,23.75,2024-01-17 16:07:52.720258,2024-01-18 16:00:00,0.0,0.0,1440,0.0,0.0
3,2024-01-17 17:00:00,0.0072,0.0,0.46500144000000004,0.006605221314751327,23.75,2024-01-17 16:07:52.720258,2024-01-18 16:00:00,0.0,0.0,1440,0.0,0.0
4,2024-01-17 17:15:00,0.0071,0.0,0.46092248,0.006456346321667873,23.75,2024-01-17 16:07:52.720258,2024-01-18 16:00:00,0.0,0.0,1440,0.0,0.0
5,2024-01-17 17:30:00,0.0071,0.0,0.45684352,0.00639921051351152,23.75,2024-01-17 16:07:52.720258,2024-01-18 16:00:00,0.0,0.0,1440,0.0,0.0
6,2024-01-17 17:45:00,0.0071,0.0,0.45786325999999994,0.006413494465550607,23.75,2024-01-17 16:07:52.720258,2024-01-18 16:00:00,0.0,0.0,1440,0.0,0.0
7,2024-01-17 18:00:00,0.0071,0.0,0.46092247999999997,0.006456346321667872,23.75,2024-01-17 16:07:52.720258,2024-01-18 16:00:00,0.0,0.0,1440,0.0,0.0
8,2024-01-17 18:15:00,0.0071,0.0,0.46092247999999997,0.006456346321667872,23.75,2024-01-17 16:07:52.720258,2024-01-18 16:00:00,0.0,0.0,1440,0.0,0.0
9,2024-01-17 18:30:00,0.0071,0.0,0.46296196,0.00648491422574605,23.75,2024-01-17 16:07:52.720258,2024-01-18 16:00:00,0.0,0.0,1440,0.0,0.0
10,2024-01-17 18:45:00,0.0071,0.0,0.4690804,0.006570617937980579,23.75,2024-01-17 16:07:52.720258,2024-01-18 16:00:00,0.0,0.0,1440,0.0,0.0
11,2024-01-17 19:00:00,0.0071,0.0,0.47519884,0.006656321650215108,23.75,2024-01-17 16:07:52.720258,2024-01-18 16:00:00,0.0,0.0,1440,0.0,0.0
12,2024-01-17 19:15:00,0.0069,0.0,0.47519884,0.006468819631899189,23.75,2024-01-17 16:07:52.720258,2024-01-18 16:00:00,0.0,0.0,1440,0.0,0.0
13,2024-01-17 19:30:00,0.0067,0.0,0.4690804,0.0062004422795028,23.75,2024-01-17 16:07:52.720258,2024-01-18 16:00:00,0.0,0.0,1440,0.0,0.0
