t,Q,P,Bar,Eta
2024-02-27 15:00:00,0.9079,61.994,1.5597,0.4376350611104733
2024-02-27 15:15:00,0.9287,65.2088,1.5595999999999999,0.4500482461988226
2024-02-27 15:30:00,1.0923,87.9138,1.5535,0.5178993890729701
2024-02-27 15:45:00,1.1133,90.2964,1.5367,0.52760715082874
2024-02-27 16:00:00,1.1115,89.0058,1.5267,0.5243203004685627
2024-02-27 16:15:00,1.1072,87.1625,1.52,0.517727877584886
2024-02-27 16:30:00,1.1059,85.8729,1.5152,0.5122852450347077
2024-02-27 16:45:00,1.1027,84.5723,1.5076,0.5085412378267077
2024-02-27 17:00:00,0.9887,68.7789,1.519,0.45779859472572676
2024-02-27 17:15:00,0.8808,54.62,1.5214999999999999,0.40742152556397665
2024-02-27 17:30:00,0.8814,55.6064,1.5331000000000001,0.4113606893727415
2024-02-27 17:45:00,0.8831,56.4529,1.5372999999999999,0.41568014624858607
2024-02-27 18:00:00,0.887,57.9415,1.5476999999999999,0.421911020184904
2024-02-27 18:15:00,0.885,58.2578,1.5579999999999998,0.42236205445545466
2024-02-27 18:30:00,0.9119,62.6945,1.5678,0.43836220703258605
2024-02-27 18:45:00,1.117,91.85,1.5474999999999999,0.5311740713816636
2024-02-27 19:00:00,1.1682,98.4107,1.5342,0.5488891905250588
2024-02-27 19:15:00,1.1674,96.7622,1.5226000000000002,0.5441789734396428
2024-02-27 19:30:00,1.1616,94.8891,1.5128000000000001,0.5397836749719674
2024-02-27 19:45:00,1.1604,92.6519,1.4998,0.5321754031791394
2024-02-27 20:00:00,1.0261,73.5444,1.5086000000000002,0.47492754174912233
2024-02-27 20:15:00,0.8306,47.7649,1.5297,0.3757960551594536
2024-02-27 20:30:00,0.815,46.4318,1.5339,0.37128072322561323
2024-02-27 20:45:00,0.8172,47.1833,1.542,0.37429766511677165
2024-02-27 21:00:00,0.8218,48.3827,1.5492,0.3798901322481103
2024-02-27 21:15:00,0.8215,49.1585,1.558,0.3839415721859635
2024-02-27 21:30:00,0.8311,51.1728,1.5675,0.3926629150708539
2024-02-27 21:45:00,1.0198,77.8404,1.5596,0.48923594998763054
2024-02-27 22:00:00,1.1177,90.6285,1.5411,0.5259570224961897
2024-02-27 22:15:00,1.1142,89.4606,1.5372000000000001,0.5221314030295537
2024-02-27 22:30:00,1.1107,88.2545,1.5282,0.519758294976224
2024-02-27 22:45:00,1.1085,86.9525,1.5246,0.5143183241589635
2024-02-27 23:00:00,1.1074,85.9375,1.5131999999999999,0.5126528796296664
2024-02-27 23:15:00,1.1027,84.9528,1.5044,0.5119158020072694
2024-02-27 23:30:00,0.9372,61.1948,1.5154,0.4307214441952079
